cliente_id,health_score,riesgo_churn_pct,customer_lifetime_value_estimado,fecha_ultima_prediccion,variables_mas_influyentes,motivo_principal_riesgo,explicacion_ia,accion_recomendada,nivel_riesgo
22,57,43.8,31.41,2026-07-12,Sin renovación automática; Competidor cercano recién abierto; Cambio reciente de entrenador,Cancelaciones de clases frecuentes,El cliente muestra indicios de desenganche: cancelaciones de clases frecuentes. Una acción proactiva puede revertir la situación.,Invitar a evento exclusivo del centro,medio
23,93,19.0,439.7,2026-07-12,Sin renovación automática; Precio elevado respecto al uso; Competidor cercano recién abierto,Cancelaciones de clases frecuentes,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: cancelaciones de clases frecuentes.,Enviar encuesta de satisfacción,bajo
24,60,39.4,50.66,2026-07-12,Sin interacción con la app; Sin renovación automática; Cancelaciones de clases frecuentes,Cambio reciente de entrenador,El cliente muestra indicios de desenganche: cambio reciente de entrenador. Una acción proactiva puede revertir la situación.,Enviar email personalizado de reactivación,medio
25,73,22.6,534.6,2026-07-12,Impagos recurrentes; Competidor cercano recién abierto; Sin renovación automática,Sin interacción con la app,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: sin interacción con la app.,Email de fidelización estándar,bajo
26,70,23.2,306.24,2026-07-12,Precio elevado respecto al uso; Cancelaciones de clases frecuentes; Alta distancia al gimnasio,Competidor cercano recién abierto,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: competidor cercano recién abierto.,Email de fidelización estándar,bajo
27,63,41.0,895.86,2026-07-12,Baja frecuencia de visitas; Impagos recurrentes; Precio elevado respecto al uso; Cancelaciones de clases frecuentes,Baja satisfacción (NPS < 5),El cliente muestra indicios de desenganche: baja satisfacción (nps < 5). Una acción proactiva puede revertir la situación.,Enviar email personalizado de reactivación,medio
28,72,23.1,98.15,2026-07-12,Cambio reciente de entrenador; Sin interacción con la app; Cancelaciones de clases frecuentes; Precio elevado respecto al uso,Cambio reciente de entrenador,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: cambio reciente de entrenador.,Email de fidelización estándar,bajo
29,77,21.6,1134.75,2026-07-12,Sin renovación automática; Impagos recurrentes,Alta distancia al gimnasio,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: alta distancia al gimnasio.,Email de fidelización estándar,bajo
30,75,31.5,721.92,2026-07-12,Sin renovación automática; Alta distancia al gimnasio,Competidor cercano recién abierto,El cliente muestra indicios de desenganche: competidor cercano recién abierto. Una acción proactiva puede revertir la situación.,Enviar email personalizado de reactivación,medio
31,78,12.8,478.62,2026-07-12,Impagos recurrentes; Sin interacción con la app,Impagos recurrentes,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: impagos recurrentes.,Enviar encuesta de satisfacción,bajo
32,75,23.3,1121.0,2026-07-12,Cancelaciones de clases frecuentes; Competidor cercano recién abierto; Alta distancia al gimnasio,Baja satisfacción (NPS < 5),El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: baja satisfacción (nps < 5).,Enviar encuesta de satisfacción,bajo
33,70,38.2,61.42,2026-07-12,Baja frecuencia de visitas; Sin renovación automática; Sin interacción con la app; Cancelaciones de clases frecuentes,Competidor cercano recién abierto,El cliente muestra indicios de desenganche: competidor cercano recién abierto. Una acción proactiva puede revertir la situación.,Ofrecer sesión de entrenamiento personal gratuita,medio
34,88,5.4,1026.18,2026-07-12,Competidor cercano recién abierto; Impagos recurrentes,Sin renovación automática,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: sin renovación automática.,Push notification con novedades del centro,bajo
35,90,14.3,541.26,2026-07-12,Alta distancia al gimnasio; Sin renovación automática; Precio elevado respecto al uso; Impagos recurrentes,Precio elevado respecto al uso,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: precio elevado respecto al uso.,Enviar encuesta de satisfacción,bajo
36,63,26.2,1636.35,2026-07-12,Baja frecuencia de visitas; Sin renovación automática; Cancelaciones de clases frecuentes; Baja satisfacción (NPS < 5),Sin interacción con la app,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: sin interacción con la app.,Push notification con novedades del centro,bajo
37,60,38.7,87.99,2026-07-12,Alta distancia al gimnasio; Precio elevado respecto al uso; Cancelaciones de clases frecuentes,Baja frecuencia de visitas,El cliente muestra indicios de desenganche: baja frecuencia de visitas. Una acción proactiva puede revertir la situación.,Aplicar descuento del 10%,medio
38,23,66.4,693.42,2026-07-12,Cancelaciones de clases frecuentes; Competidor cercano recién abierto,Sin interacción con la app,El cliente presenta señales críticas: sin interacción con la app. Tendencia de actividad decreciente. Intervención inmediata recomendada.,Aplicar descuento personalizado del 20%,alto
39,73,22.2,909.44,2026-07-12,Baja satisfacción (NPS < 5); Impagos recurrentes; Precio elevado respecto al uso,Cambio reciente de entrenador,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: cambio reciente de entrenador.,Enviar encuesta de satisfacción,bajo
40,78,9.5,874.32,2026-07-12,Cambio reciente de entrenador; Sin renovación automática,Competidor cercano recién abierto,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: competidor cercano recién abierto.,Push notification con novedades del centro,bajo
41,86,9.6,2147.16,2026-07-12,Cambio reciente de entrenador; Impagos recurrentes,Competidor cercano recién abierto,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: competidor cercano recién abierto.,Push notification con novedades del centro,bajo
42,69,22.3,662.83,2026-07-12,Cambio reciente de entrenador; Competidor cercano recién abierto; Impagos recurrentes; Alta distancia al gimnasio,Precio elevado respecto al uso,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: precio elevado respecto al uso.,Email de fidelización estándar,bajo
43,32,66.0,1385.5,2026-07-12,Alta distancia al gimnasio; Impagos recurrentes; Sin renovación automática; Cambio reciente de entrenador,Sin interacción con la app,El cliente presenta señales críticas: sin interacción con la app. Tendencia de actividad decreciente. Intervención inmediata recomendada.,Ofrecer congelación temporal de cuota,alto
44,98,7.1,1684.36,2026-07-12,Alta distancia al gimnasio; Sin interacción con la app; Cambio reciente de entrenador; Precio elevado respecto al uso,Competidor cercano recién abierto,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: competidor cercano recién abierto.,Enviar encuesta de satisfacción,bajo
45,75,29.8,1483.25,2026-07-12,Baja frecuencia de visitas; Cancelaciones de clases frecuentes; Impagos recurrentes,Baja satisfacción (NPS < 5),El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: baja satisfacción (nps < 5).,Email de fidelización estándar,bajo
46,66,35.4,93.15,2026-07-12,Cancelaciones de clases frecuentes; Alta distancia al gimnasio; Cambio reciente de entrenador; Baja frecuencia de visitas,Alta distancia al gimnasio,El cliente muestra indicios de desenganche: alta distancia al gimnasio. Una acción proactiva puede revertir la situación.,Invitar a evento exclusivo del centro,medio
47,70,18.9,451.15,2026-07-12,Competidor cercano recién abierto; Cancelaciones de clases frecuentes,Baja frecuencia de visitas,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: baja frecuencia de visitas.,Email de fidelización estándar,bajo
48,60,44.5,639.36,2026-07-12,Impagos recurrentes; Baja frecuencia de visitas; Sin renovación automática,Cancelaciones de clases frecuentes,El cliente muestra indicios de desenganche: cancelaciones de clases frecuentes. Una acción proactiva puede revertir la situación.,Invitar a evento exclusivo del centro,medio
49,41,50.8,441.35,2026-07-12,Sin renovación automática; Cambio reciente de entrenador; Precio elevado respecto al uso,Precio elevado respecto al uso,El cliente muestra indicios de desenganche: precio elevado respecto al uso. Una acción proactiva puede revertir la situación.,Aplicar descuento del 10%,medio
50,76,11.6,762.66,2026-07-12,Impagos recurrentes; Competidor cercano recién abierto; Cambio reciente de entrenador,Cambio reciente de entrenador,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: cambio reciente de entrenador.,Push notification con novedades del centro,bajo
51,55,45.3,390.32,2026-07-12,Baja satisfacción (NPS < 5); Impagos recurrentes; Competidor cercano recién abierto; Precio elevado respecto al uso,Precio elevado respecto al uso,El cliente muestra indicios de desenganche: precio elevado respecto al uso. Una acción proactiva puede revertir la situación.,Invitar a evento exclusivo del centro,medio
52,65,38.8,332.2,2026-07-12,Precio elevado respecto al uso; Baja satisfacción (NPS < 5),Competidor cercano recién abierto,El cliente muestra indicios de desenganche: competidor cercano recién abierto. Una acción proactiva puede revertir la situación.,Aplicar descuento del 10%,medio
53,75,27.6,778.05,2026-07-12,Baja satisfacción (NPS < 5); Alta distancia al gimnasio; Sin interacción con la app; Precio elevado respecto al uso,Impagos recurrentes,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: impagos recurrentes.,Enviar encuesta de satisfacción,bajo
54,91,19.1,1314.3,2026-07-12,Alta distancia al gimnasio; Baja frecuencia de visitas,Impagos recurrentes,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: impagos recurrentes.,Email de fidelización estándar,bajo
55,47,48.3,1711.52,2026-07-12,Cancelaciones de clases frecuentes; Precio elevado respecto al uso; Sin renovación automática; Alta distancia al gimnasio,Alta distancia al gimnasio,El cliente muestra indicios de desenganche: alta distancia al gimnasio. Una acción proactiva puede revertir la situación.,Aplicar descuento del 10%,medio
56,84,12.3,1818.25,2026-07-12,Precio elevado respecto al uso; Baja satisfacción (NPS < 5); Baja frecuencia de visitas; Sin interacción con la app,Cancelaciones de clases frecuentes,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: cancelaciones de clases frecuentes.,Enviar encuesta de satisfacción,bajo
57,73,20.2,88.36,2026-07-12,Sin renovación automática; Cambio reciente de entrenador,Sin renovación automática,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: sin renovación automática.,Push notification con novedades del centro,bajo
58,60,38.2,34.1,2026-07-12,Cancelaciones de clases frecuentes; Sin interacción con la app; Baja satisfacción (NPS < 5),Competidor cercano recién abierto,El cliente muestra indicios de desenganche: competidor cercano recién abierto. Una acción proactiva puede revertir la situación.,Invitar a evento exclusivo del centro,medio
59,65,38.6,287.8,2026-07-12,Impagos recurrentes; Cancelaciones de clases frecuentes,Competidor cercano recién abierto,El cliente muestra indicios de desenganche: competidor cercano recién abierto. Una acción proactiva puede revertir la situación.,Enviar email personalizado de reactivación,medio
60,51,55.2,1226.2,2026-07-12,Competidor cercano recién abierto; Precio elevado respecto al uso; Alta distancia al gimnasio; Cancelaciones de clases frecuentes,Precio elevado respecto al uso,El cliente muestra indicios de desenganche: precio elevado respecto al uso. Una acción proactiva puede revertir la situación.,Aplicar descuento del 10%,medio
61,80,17.0,847.8,2026-07-12,Impagos recurrentes; Baja frecuencia de visitas; Precio elevado respecto al uso,Sin interacción con la app,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: sin interacción con la app.,Push notification con novedades del centro,bajo
62,59,46.6,711.72,2026-07-12,Competidor cercano recién abierto; Sin renovación automática; Impagos recurrentes; Baja satisfacción (NPS < 5),Cambio reciente de entrenador,El cliente muestra indicios de desenganche: cambio reciente de entrenador. Una acción proactiva puede revertir la situación.,Ofrecer sesión de entrenamiento personal gratuita,medio
63,72,36.8,221.1,2026-07-12,Alta distancia al gimnasio; Precio elevado respecto al uso; Cancelaciones de clases frecuentes; Sin interacción con la app,Sin interacción con la app,El cliente muestra indicios de desenganche: sin interacción con la app. Una acción proactiva puede revertir la situación.,Enviar email personalizado de reactivación,medio
64,70,33.2,1119.72,2026-07-12,Impagos recurrentes; Cancelaciones de clases frecuentes; Cambio reciente de entrenador; Baja frecuencia de visitas,Competidor cercano recién abierto,El cliente muestra indicios de desenganche: competidor cercano recién abierto. Una acción proactiva puede revertir la situación.,Aplicar descuento del 10%,medio
65,90,11.5,472.2,2026-07-12,Sin interacción con la app; Cambio reciente de entrenador,Precio elevado respecto al uso,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: precio elevado respecto al uso.,Push notification con novedades del centro,bajo
66,58,42.2,1051.25,2026-07-12,Cancelaciones de clases frecuentes; Baja satisfacción (NPS < 5); Impagos recurrentes,Alta distancia al gimnasio,El cliente muestra indicios de desenganche: alta distancia al gimnasio. Una acción proactiva puede revertir la situación.,Ofrecer sesión de entrenamiento personal gratuita,medio
67,78,19.6,707.54,2026-07-12,Impagos recurrentes; Cancelaciones de clases frecuentes,Cancelaciones de clases frecuentes,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: cancelaciones de clases frecuentes.,Enviar encuesta de satisfacción,bajo
68,13,88.2,28.45,2026-07-12,Sin interacción con la app; Competidor cercano recién abierto; Impagos recurrentes; Baja satisfacción (NPS < 5),Sin renovación automática,El cliente presenta señales críticas: sin renovación automática. Tendencia de actividad decreciente. Intervención inmediata recomendada.,Llamada urgente del comercial,alto
69,79,16.4,1045.12,2026-07-12,Competidor cercano recién abierto; Baja frecuencia de visitas; Alta distancia al gimnasio; Baja satisfacción (NPS < 5),Baja frecuencia de visitas,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: baja frecuencia de visitas.,Email de fidelización estándar,bajo
70,96,14.8,313.44,2026-07-12,Cambio reciente de entrenador; Baja satisfacción (NPS < 5),Precio elevado respecto al uso,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: precio elevado respecto al uso.,Email de fidelización estándar,bajo
71,68,37.0,1567.89,2026-07-12,Baja satisfacción (NPS < 5); Sin renovación automática; Sin interacción con la app; Cancelaciones de clases frecuentes,Cambio reciente de entrenador,El cliente muestra indicios de desenganche: cambio reciente de entrenador. Una acción proactiva puede revertir la situación.,Aplicar descuento del 10%,medio
72,100,4.5,931.76,2026-07-12,Impagos recurrentes; Baja frecuencia de visitas; Sin interacción con la app,Impagos recurrentes,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: impagos recurrentes.,Push notification con novedades del centro,bajo
73,78,19.1,788.9,2026-07-12,Baja frecuencia de visitas; Alta distancia al gimnasio; Sin interacción con la app,Baja frecuencia de visitas,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: baja frecuencia de visitas.,Push notification con novedades del centro,bajo
74,73,30.2,770.35,2026-07-12,Precio elevado respecto al uso; Cambio reciente de entrenador; Cancelaciones de clases frecuentes,Precio elevado respecto al uso,El cliente muestra indicios de desenganche: precio elevado respecto al uso. Una acción proactiva puede revertir la situación.,Invitar a evento exclusivo del centro,medio
75,66,32.6,1075.2,2026-07-12,Competidor cercano recién abierto; Baja satisfacción (NPS < 5),Baja frecuencia de visitas,El cliente muestra indicios de desenganche: baja frecuencia de visitas. Una acción proactiva puede revertir la situación.,Invitar a evento exclusivo del centro,medio
76,97,8.8,190.26,2026-07-12,Competidor cercano recién abierto; Sin renovación automática; Cambio reciente de entrenador; Cancelaciones de clases frecuentes,Competidor cercano recién abierto,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: competidor cercano recién abierto.,Enviar encuesta de satisfacción,bajo
77,53,46.7,74.6,2026-07-12,Impagos recurrentes; Cambio reciente de entrenador; Baja satisfacción (NPS < 5); Sin interacción con la app,Competidor cercano recién abierto,El cliente muestra indicios de desenganche: competidor cercano recién abierto. Una acción proactiva puede revertir la situación.,Ofrecer sesión de entrenamiento personal gratuita,medio
78,38,63.9,796.77,2026-07-12,Precio elevado respecto al uso; Sin interacción con la app,Impagos recurrentes,El cliente presenta señales críticas: impagos recurrentes. Tendencia de actividad decreciente. Intervención inmediata recomendada.,Llamada urgente del comercial,alto
79,59,32.3,1174.94,2026-07-12,Cancelaciones de clases frecuentes; Baja frecuencia de visitas,Sin renovación automática,El cliente muestra indicios de desenganche: sin renovación automática. Una acción proactiva puede revertir la situación.,Invitar a evento exclusivo del centro,medio
80,90,7.2,905.8,2026-07-12,Alta distancia al gimnasio; Precio elevado respecto al uso; Competidor cercano recién abierto,Sin interacción con la app,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: sin interacción con la app.,Email de fidelización estándar,bajo
81,82,5.6,48.66,2026-07-12,Precio elevado respecto al uso; Baja frecuencia de visitas,Baja satisfacción (NPS < 5),El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: baja satisfacción (nps < 5).,Enviar encuesta de satisfacción,bajo
82,73,15.9,2362.51,2026-07-12,Sin interacción con la app; Precio elevado respecto al uso; Baja satisfacción (NPS < 5); Impagos recurrentes,Cancelaciones de clases frecuentes,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: cancelaciones de clases frecuentes.,Enviar encuesta de satisfacción,bajo
83,58,40.7,845.88,2026-07-12,Baja frecuencia de visitas; Baja satisfacción (NPS < 5),Sin renovación automática,El cliente muestra indicios de desenganche: sin renovación automática. Una acción proactiva puede revertir la situación.,Ofrecer sesión de entrenamiento personal gratuita,medio
84,77,14.3,45.57,2026-07-12,Cambio reciente de entrenador; Impagos recurrentes; Sin interacción con la app; Alta distancia al gimnasio,Competidor cercano recién abierto,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: competidor cercano recién abierto.,Push notification con novedades del centro,bajo
85,96,14.4,1879.1,2026-07-12,Sin renovación automática; Baja satisfacción (NPS < 5); Precio elevado respecto al uso; Competidor cercano recién abierto,Sin interacción con la app,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: sin interacción con la app.,Enviar encuesta de satisfacción,bajo
86,60,40.1,133.15,2026-07-12,Cancelaciones de clases frecuentes; Impagos recurrentes,Competidor cercano recién abierto,El cliente muestra indicios de desenganche: competidor cercano recién abierto. Una acción proactiva puede revertir la situación.,Enviar email personalizado de reactivación,medio
87,67,27.8,3432.8,2026-07-12,Baja frecuencia de visitas; Competidor cercano recién abierto; Impagos recurrentes; Precio elevado respecto al uso,Baja satisfacción (NPS < 5),El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: baja satisfacción (nps < 5).,Push notification con novedades del centro,bajo
88,62,37.7,443.79,2026-07-12,Precio elevado respecto al uso; Sin interacción con la app; Baja frecuencia de visitas; Impagos recurrentes,Baja satisfacción (NPS < 5),El cliente muestra indicios de desenganche: baja satisfacción (nps < 5). Una acción proactiva puede revertir la situación.,Enviar email personalizado de reactivación,medio
89,53,47.7,71.62,2026-07-12,Cambio reciente de entrenador; Precio elevado respecto al uso,Alta distancia al gimnasio,El cliente muestra indicios de desenganche: alta distancia al gimnasio. Una acción proactiva puede revertir la situación.,Enviar email personalizado de reactivación,medio
90,72,23.5,1203.5,2026-07-12,Cambio reciente de entrenador; Baja satisfacción (NPS < 5); Cancelaciones de clases frecuentes; Impagos recurrentes,Sin interacción con la app,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: sin interacción con la app.,Email de fidelización estándar,bajo
91,65,26.7,1338.6,2026-07-12,Alta distancia al gimnasio; Cambio reciente de entrenador; Cancelaciones de clases frecuentes; Baja frecuencia de visitas,Baja satisfacción (NPS < 5),El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: baja satisfacción (nps < 5).,Push notification con novedades del centro,bajo
92,79,20.9,2160.0,2026-07-12,Cambio reciente de entrenador; Alta distancia al gimnasio; Sin renovación automática,Cancelaciones de clases frecuentes,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: cancelaciones de clases frecuentes.,Enviar encuesta de satisfacción,bajo
93,67,28.2,1102.8,2026-07-12,Impagos recurrentes; Cambio reciente de entrenador; Precio elevado respecto al uso,Impagos recurrentes,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: impagos recurrentes.,Push notification con novedades del centro,bajo
94,63,25.8,88.0,2026-07-12,Competidor cercano recién abierto; Cambio reciente de entrenador; Cancelaciones de clases frecuentes; Baja satisfacción (NPS < 5),Baja satisfacción (NPS < 5),El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: baja satisfacción (nps < 5).,Enviar encuesta de satisfacción,bajo
95,64,40.9,465.75,2026-07-12,Baja frecuencia de visitas; Sin interacción con la app; Impagos recurrentes,Baja frecuencia de visitas,El cliente muestra indicios de desenganche: baja frecuencia de visitas. Una acción proactiva puede revertir la situación.,Ofrecer sesión de entrenamiento personal gratuita,medio
96,54,52.0,613.44,2026-07-12,Sin renovación automática; Precio elevado respecto al uso; Competidor cercano recién abierto; Alta distancia al gimnasio,Baja frecuencia de visitas,El cliente muestra indicios de desenganche: baja frecuencia de visitas. Una acción proactiva puede revertir la situación.,Invitar a evento exclusivo del centro,medio
97,58,40.5,73.94,2026-07-12,Sin renovación automática; Competidor cercano recién abierto,Impagos recurrentes,El cliente muestra indicios de desenganche: impagos recurrentes. Una acción proactiva puede revertir la situación.,Aplicar descuento del 10%,medio
98,91,11.3,1111.97,2026-07-12,Precio elevado respecto al uso; Sin renovación automática; Sin interacción con la app; Alta distancia al gimnasio,Alta distancia al gimnasio,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: alta distancia al gimnasio.,Push notification con novedades del centro,bajo
99,82,25.1,57.9,2026-07-12,Cambio reciente de entrenador; Sin interacción con la app; Cancelaciones de clases frecuentes,Alta distancia al gimnasio,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: alta distancia al gimnasio.,Push notification con novedades del centro,bajo
100,75,20.2,892.08,2026-07-12,Sin interacción con la app; Impagos recurrentes,Precio elevado respecto al uso,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: precio elevado respecto al uso.,Push notification con novedades del centro,bajo
101,63,30.1,1014.0,2026-07-12,Impagos recurrentes; Cancelaciones de clases frecuentes; Alta distancia al gimnasio,Sin interacción con la app,El cliente muestra indicios de desenganche: sin interacción con la app. Una acción proactiva puede revertir la situación.,Ofrecer sesión de entrenamiento personal gratuita,medio
102,44,52.4,26.02,2026-07-12,Sin renovación automática; Competidor cercano recién abierto,Cancelaciones de clases frecuentes,El cliente muestra indicios de desenganche: cancelaciones de clases frecuentes. Una acción proactiva puede revertir la situación.,Aplicar descuento del 10%,medio
103,77,16.1,613.92,2026-07-12,Baja frecuencia de visitas; Impagos recurrentes; Cancelaciones de clases frecuentes; Precio elevado respecto al uso,Cambio reciente de entrenador,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: cambio reciente de entrenador.,Enviar encuesta de satisfacción,bajo
