cliente_id,nps,valoracion_entrenador,valoracion_instalaciones,valoracion_limpieza,valoracion_clases,comentarios
200,4,5.0,3.8,4.7,2.9,Las duchas necesitan renovación.
201,5,4.2,3.3,3.3,3.2,Demasiada gente en hora punta.
202,1,3.2,4.5,2.5,3.2,Me han cobrado de más un mes.
204,7,5.0,3.6,2.9,5.0,Me encanta el ambiente y la limpieza.
206,6,2.2,4.8,3.5,2.3,Difícil aparcar.
207,4,3.9,1.7,3.0,4.7,El precio ha subido mucho últimamente.
209,5,2.7,3.7,3.6,4.0,Cambio de entrenador sin previo aviso.
210,7,4.3,3.7,2.7,3.2,El equipo de entrenadores es excelente.
211,0,2.8,3.7,3.2,3.0,
212,2,3.6,2.8,3.7,5.0,
213,4,3.1,2.3,3.0,3.4,
214,9,2.8,2.3,3.9,4.7,Muy satisfecho con las instalaciones.
215,5,2.1,3.3,3.3,4.0,El precio ha subido mucho últimamente.
216,5,4.1,3.5,2.9,3.0,Las duchas necesitan renovación.
217,6,3.1,3.8,3.6,5.0,
219,6,2.9,3.9,5.0,4.5,Me han cobrado de más un mes.
221,8,3.7,3.1,2.3,2.0,Las clases son variadas y motivadoras.
223,2,2.5,3.0,2.2,4.2,Las máquinas a veces están estropeadas.
224,7,5.0,3.9,3.1,3.8,
226,3,2.8,3.9,3.5,1.8,Cambio de entrenador sin previo aviso.
227,5,2.8,3.9,2.4,3.3,Las duchas necesitan renovación.
228,6,4.7,2.7,3.9,3.5,Demasiada gente en hora punta.
229,6,3.3,4.8,2.0,3.6,
230,5,3.0,2.0,3.2,3.0,
231,5,4.4,3.8,3.9,2.8,Cambio de entrenador sin previo aviso.
233,2,3.5,4.4,3.3,1.7,Cambio de entrenador sin previo aviso.
235,7,2.9,2.7,4.3,3.9,
236,9,5.0,4.0,4.1,2.6,
237,8,4.0,2.7,3.7,3.0,
238,6,4.9,2.9,2.1,4.6,Difícil aparcar.
240,6,4.0,4.4,2.2,2.6,
241,8,3.5,3.6,2.0,4.2,
242,2,3.7,3.8,2.7,3.7,
243,4,3.0,4.1,2.2,2.6,Las máquinas a veces están estropeadas.
244,6,3.2,3.8,4.4,3.2,
245,7,3.1,4.2,4.7,3.8,
246,4,4.4,3.2,2.6,3.4,Cambio de entrenador sin previo aviso.
247,5,4.0,3.5,1.6,2.3,La limpieza podría mejorar.
249,5,4.0,4.1,3.1,2.8,
251,5,3.2,3.2,4.6,3.0,Las duchas necesitan renovación.
252,1,2.4,2.5,3.6,3.2,Las duchas necesitan renovación.
253,6,3.8,3.7,4.7,5.0,La limpieza podría mejorar.
254,10,3.7,4.0,4.5,5.0,
255,1,3.4,2.4,3.5,4.0,La limpieza podría mejorar.
256,4,3.1,2.8,2.6,2.7,
257,7,3.9,4.6,2.1,2.6,Me encanta el ambiente y la limpieza.
258,3,3.1,3.8,2.9,3.5,El precio ha subido mucho últimamente.
259,4,4.4,3.7,3.4,3.5,Demasiada gente en hora punta.
260,5,2.9,4.2,2.8,3.3,La limpieza podría mejorar.
261,6,3.0,4.7,3.0,4.2,Las duchas necesitan renovación.
262,4,3.6,4.2,2.7,2.9,Las máquinas a veces están estropeadas.
263,3,3.1,1.9,2.1,3.7,Difícil aparcar.
265,4,2.0,3.2,3.3,4.0,El precio ha subido mucho últimamente.
266,3,4.2,4.1,3.0,4.0,El precio ha subido mucho últimamente.
267,9,3.2,4.5,3.9,2.9,El equipo de entrenadores es excelente.
269,8,2.1,4.1,4.0,4.3,
270,5,4.3,3.7,3.8,4.7,La limpieza podría mejorar.
271,1,4.2,3.2,2.6,2.5,La limpieza podría mejorar.
272,8,3.0,5.0,4.0,3.3,El equipo de entrenadores es excelente.
273,2,3.6,4.0,3.4,2.6,
274,5,4.9,3.0,3.4,2.8,
275,6,4.1,3.3,2.5,2.7,Difícil aparcar.
276,4,5.0,3.2,3.1,3.6,Me han cobrado de más un mes.
277,2,2.5,3.1,3.3,2.8,
278,5,3.9,2.2,3.6,4.4,
280,8,5.0,3.5,3.5,3.4,
281,8,3.2,3.6,4.1,4.8,
282,6,2.5,3.7,2.1,3.2,
284,2,2.9,3.5,4.6,3.7,Me han cobrado de más un mes.
285,6,5.0,2.9,3.6,3.6,La limpieza podría mejorar.
286,7,3.7,3.2,3.6,4.6,La atención al cliente es de 10.
288,5,3.7,4.1,3.0,5.0,Difícil aparcar.
290,7,3.8,3.5,3.9,2.6,
291,7,2.6,3.1,3.2,4.1,
292,6,4.4,4.6,3.1,3.7,Difícil aparcar.
293,5,2.7,4.1,4.3,3.9,
294,5,4.9,3.5,4.0,4.0,Cambio de entrenador sin previo aviso.
296,7,3.4,3.8,3.1,4.5,
298,5,5.0,3.3,1.6,3.4,
299,5,2.6,3.3,3.1,2.6,Las máquinas a veces están estropeadas.
300,5,3.2,3.7,2.2,3.4,
302,9,3.4,4.1,2.2,4.6,
303,4,3.6,3.6,3.1,3.7,Las duchas necesitan renovación.
304,5,3.6,2.9,3.3,4.0,
306,7,3.5,2.1,3.3,3.7,
307,6,2.8,3.7,2.6,3.5,Cambio de entrenador sin previo aviso.
308,5,3.9,4.2,4.1,3.7,Las máquinas a veces están estropeadas.
309,4,3.2,3.2,2.0,4.3,Demasiada gente en hora punta.
310,3,4.8,3.0,2.9,4.1,
311,6,2.5,4.8,3.2,5.0,Cambio de entrenador sin previo aviso.
312,2,4.3,4.7,3.3,4.4,La limpieza podría mejorar.
314,3,3.3,4.3,3.3,3.6,
315,1,3.7,2.8,2.9,2.3,Cambio de entrenador sin previo aviso.
316,6,3.9,2.5,2.0,4.1,Las máquinas a veces están estropeadas.
317,3,2.7,3.7,1.0,2.6,
319,6,3.4,4.7,4.1,3.5,El precio ha subido mucho últimamente.
320,2,3.4,3.2,1.4,3.4,Difícil aparcar.
321,2,5.0,3.0,1.6,3.0,El precio ha subido mucho últimamente.
322,5,2.4,5.0,2.4,4.4,
326,4,3.2,3.8,4.9,2.6,Las máquinas a veces están estropeadas.
327,9,4.3,3.0,1.5,3.8,
328,6,3.7,4.8,3.2,2.8,La limpieza podría mejorar.
329,2,3.5,3.2,3.1,2.7,Demasiada gente en hora punta.
331,2,3.0,2.5,4.3,3.5,Difícil aparcar.
333,8,4.0,2.5,3.5,3.9,Recomendaría este gimnasio sin dudarlo.
334,0,3.6,2.9,3.6,2.2,
335,5,2.9,2.3,3.9,4.4,Me han cobrado de más un mes.
336,5,5.0,4.1,2.5,3.6,Me han cobrado de más un mes.
337,3,4.0,3.6,2.9,4.0,
338,5,2.6,3.4,2.7,2.1,El precio ha subido mucho últimamente.
339,8,4.4,2.1,5.0,3.9,
341,6,3.6,3.0,3.6,3.9,Demasiada gente en hora punta.
342,2,1.9,3.9,2.3,2.6,Cambio de entrenador sin previo aviso.
343,0,1.9,4.5,3.5,3.1,La limpieza podría mejorar.
344,4,3.0,2.2,2.5,3.8,Las duchas necesitan renovación.
345,8,4.4,4.0,4.2,5.0,El equipo de entrenadores es excelente.
346,4,1.3,3.5,4.6,2.6,La limpieza podría mejorar.
347,6,3.0,3.6,3.5,3.2,La limpieza podría mejorar.
348,0,3.5,3.8,2.2,3.1,Difícil aparcar.
349,4,3.9,4.6,2.3,3.6,El precio ha subido mucho últimamente.
350,4,3.6,3.3,2.6,3.9,Difícil aparcar.
351,4,4.7,3.9,3.6,4.0,Las máquinas a veces están estropeadas.
353,8,4.2,4.5,3.7,3.8,Muy satisfecho con las instalaciones.
354,5,4.0,4.9,3.2,4.4,
355,6,2.3,4.3,3.3,4.0,Las máquinas a veces están estropeadas.
356,6,4.3,3.9,4.5,3.4,Difícil aparcar.
357,7,3.4,2.8,4.5,4.5,
358,4,3.6,3.5,2.9,3.9,Difícil aparcar.
359,5,3.7,3.1,3.4,2.8,Difícil aparcar.
360,2,2.8,2.5,3.8,3.0,Las máquinas a veces están estropeadas.
361,9,2.4,4.0,5.0,3.4,
362,5,3.2,3.4,4.9,3.8,Las máquinas a veces están estropeadas.
363,5,3.2,3.9,4.0,5.0,Me han cobrado de más un mes.
365,7,5.0,3.1,3.7,4.1,El equipo de entrenadores es excelente.
366,7,4.2,1.8,4.0,3.0,
367,4,3.5,2.4,2.9,3.5,
368,5,3.5,3.4,3.4,4.2,La limpieza podría mejorar.
369,7,3.4,3.9,4.5,3.8,Las clases son variadas y motivadoras.
370,7,4.7,4.2,4.2,4.7,
371,7,2.1,3.2,3.9,2.7,Recomendaría este gimnasio sin dudarlo.
372,8,2.3,2.9,4.0,3.9,Muy satisfecho con las instalaciones.
374,7,1.3,3.7,3.8,3.8,
375,2,4.2,2.9,2.7,3.6,
376,6,2.6,4.6,3.8,5.0,Me han cobrado de más un mes.
378,3,4.2,3.7,4.3,3.8,La limpieza podría mejorar.
380,5,3.3,2.3,3.5,3.5,Las máquinas a veces están estropeadas.
381,2,3.6,2.3,2.8,2.1,Difícil aparcar.
383,9,3.6,3.6,3.2,4.8,La atención al cliente es de 10.
384,4,2.1,4.3,3.2,2.4,
385,5,3.9,3.1,3.2,2.9,Cambio de entrenador sin previo aviso.
386,4,3.3,2.6,2.4,3.8,La limpieza podría mejorar.
387,3,3.0,2.2,2.3,2.4,Las duchas necesitan renovación.
388,6,4.1,3.5,2.9,2.5,Difícil aparcar.
389,4,3.8,4.0,3.8,2.3,Demasiada gente en hora punta.
391,2,2.8,1.7,3.2,3.1,
393,3,3.2,3.5,3.4,4.7,El precio ha subido mucho últimamente.
396,7,2.0,3.4,4.2,3.6,
397,7,4.5,2.9,3.9,2.4,
398,5,3.7,3.1,2.1,3.8,Las máquinas a veces están estropeadas.
400,6,3.3,2.8,3.3,4.8,La limpieza podría mejorar.
401,6,2.8,3.8,3.1,2.3,La limpieza podría mejorar.
402,5,2.8,2.8,3.7,3.5,Cambio de entrenador sin previo aviso.
403,8,4.3,2.1,2.6,3.6,
405,5,3.7,4.6,4.1,4.8,Las duchas necesitan renovación.
406,6,3.4,3.0,3.3,4.7,
407,4,4.8,3.1,4.2,5.0,Difícil aparcar.
408,8,4.3,3.6,2.4,4.0,
409,5,2.9,3.7,3.3,3.0,El precio ha subido mucho últimamente.
410,7,4.3,3.4,3.8,2.9,Las clases son variadas y motivadoras.
412,6,3.1,2.7,3.9,2.8,Las duchas necesitan renovación.
413,5,4.0,2.1,1.0,3.8,Las máquinas a veces están estropeadas.
414,3,5.0,3.7,3.7,3.3,Las duchas necesitan renovación.
415,5,2.5,3.5,4.0,5.0,
416,7,4.1,2.9,3.2,3.7,
417,6,4.8,2.3,4.7,2.7,La limpieza podría mejorar.
418,6,4.1,3.8,4.1,3.6,Las máquinas a veces están estropeadas.
419,4,2.3,4.3,3.0,2.4,
420,8,3.9,2.6,2.1,2.8,
421,3,2.6,2.6,4.6,5.0,La limpieza podría mejorar.
422,4,2.6,4.3,3.7,5.0,El precio ha subido mucho últimamente.
425,6,3.8,3.3,3.0,3.6,Me han cobrado de más un mes.
426,1,3.4,2.1,3.3,3.7,Difícil aparcar.
427,5,4.9,3.6,3.3,3.2,El precio ha subido mucho últimamente.
428,2,4.1,3.9,2.0,3.4,El precio ha subido mucho últimamente.
430,3,4.2,4.8,4.3,3.7,
431,2,2.6,1.6,3.3,2.9,Me han cobrado de más un mes.
432,8,4.7,3.9,4.0,3.5,
433,5,3.4,3.9,1.3,3.4,El precio ha subido mucho últimamente.
436,5,3.3,4.3,3.1,4.9,Las máquinas a veces están estropeadas.
437,7,3.5,3.3,3.6,3.6,
438,4,4.0,3.6,3.8,4.4,
440,7,1.5,3.4,4.0,4.0,
442,4,3.8,4.9,3.1,4.3,Me han cobrado de más un mes.
443,5,4.1,1.2,3.0,4.4,Las máquinas a veces están estropeadas.
444,4,3.8,2.9,4.6,4.4,Las máquinas a veces están estropeadas.
445,3,4.0,2.1,2.1,2.5,La limpieza podría mejorar.
446,6,2.9,3.6,3.7,3.6,Me han cobrado de más un mes.
447,7,4.5,3.4,2.9,5.0,
448,4,3.6,4.1,4.3,3.2,Difícil aparcar.
449,5,3.1,3.6,1.8,5.0,Difícil aparcar.
450,7,4.0,1.7,4.0,4.0,El equipo de entrenadores es excelente.
452,2,2.8,1.4,2.3,3.4,Difícil aparcar.
453,8,2.4,2.5,4.1,3.5,Recomendaría este gimnasio sin dudarlo.
454,4,3.7,2.5,3.4,4.2,Me han cobrado de más un mes.
456,10,3.9,4.3,4.4,5.0,
458,5,3.9,4.1,2.9,3.7,Demasiada gente en hora punta.
459,6,3.0,3.1,3.7,3.1,
462,3,3.2,3.9,2.9,3.0,Demasiada gente en hora punta.
463,7,5.0,2.6,3.7,2.1,La atención al cliente es de 10.
464,7,4.2,2.0,4.4,3.2,Me encanta el ambiente y la limpieza.
465,3,3.8,2.2,1.2,2.7,La limpieza podría mejorar.
466,4,3.1,3.0,3.4,4.7,Cambio de entrenador sin previo aviso.
467,4,2.0,4.1,4.6,3.1,Cambio de entrenador sin previo aviso.
468,4,3.1,3.7,2.5,3.9,Me han cobrado de más un mes.
469,5,3.1,2.7,4.0,2.7,Cambio de entrenador sin previo aviso.
471,2,2.9,3.3,2.8,3.9,La limpieza podría mejorar.
472,3,4.0,3.4,3.4,3.9,
473,6,3.8,3.4,2.3,2.4,Me han cobrado de más un mes.
474,3,3.0,4.8,3.9,2.5,Demasiada gente en hora punta.
475,5,3.3,3.8,4.0,3.5,
476,3,3.6,3.6,3.3,3.5,El precio ha subido mucho últimamente.
478,3,4.3,2.5,2.0,4.1,
479,4,3.3,4.3,3.1,3.3,Cambio de entrenador sin previo aviso.
480,6,2.9,3.5,2.9,4.2,La limpieza podría mejorar.
481,2,5.0,3.6,3.5,3.6,Las duchas necesitan renovación.
482,4,2.2,2.8,2.4,3.5,
483,4,3.3,3.8,3.4,1.3,Demasiada gente en hora punta.
485,5,1.7,3.2,4.7,3.9,
487,5,4.3,3.6,3.3,3.7,
489,4,3.9,3.0,3.8,3.7,
490,4,3.0,4.6,3.2,4.5,Las máquinas a veces están estropeadas.
491,6,4.9,3.0,4.0,4.7,La limpieza podría mejorar.
493,2,3.9,3.4,2.9,4.5,Cambio de entrenador sin previo aviso.
495,6,2.7,2.9,2.5,3.6,
496,4,2.8,3.7,3.8,3.2,Las máquinas a veces están estropeadas.
498,8,2.8,3.1,2.9,3.9,Me encanta el ambiente y la limpieza.
499,8,4.1,5.0,4.7,3.4,
504,5,3.1,2.9,2.0,2.5,Difícil aparcar.
505,2,2.5,1.8,1.9,3.9,El precio ha subido mucho últimamente.
506,2,1.0,3.3,2.1,3.4,
507,4,3.7,2.2,3.9,3.4,El precio ha subido mucho últimamente.
508,1,2.1,2.4,3.0,2.6,Me han cobrado de más un mes.
509,3,3.0,3.6,3.8,3.3,Las máquinas a veces están estropeadas.
510,3,2.9,3.0,2.3,4.1,Demasiada gente en hora punta.
512,3,1.7,3.2,2.2,3.5,
513,0,4.2,2.0,2.4,2.8,
515,4,2.2,4.5,2.7,3.1,Cambio de entrenador sin previo aviso.
517,4,2.8,2.9,1.6,3.5,Difícil aparcar.
518,4,2.7,3.1,4.6,3.2,Cambio de entrenador sin previo aviso.
520,1,2.8,2.1,2.2,2.1,El precio ha subido mucho últimamente.
522,0,2.4,1.6,2.9,3.6,
523,3,4.0,3.6,1.0,2.8,Cambio de entrenador sin previo aviso.
525,5,3.9,3.9,3.3,1.7,Difícil aparcar.
530,2,3.2,3.2,2.0,2.8,Demasiada gente en hora punta.
531,0,1.4,2.2,1.9,1.6,
532,2,2.5,2.6,2.4,3.3,El precio ha subido mucho últimamente.
533,3,2.7,1.6,3.6,3.1,Me han cobrado de más un mes.
536,7,2.7,2.7,3.4,3.3,
537,2,1.7,2.2,2.9,3.3,
538,1,1.5,2.0,2.7,2.9,Las duchas necesitan renovación.
539,3,2.0,4.0,2.0,1.3,
540,4,2.2,1.9,1.9,3.0,
541,4,3.2,2.6,2.8,3.1,Demasiada gente en hora punta.
542,1,2.5,2.6,1.6,3.1,Las duchas necesitan renovación.
543,5,3.5,3.9,2.8,3.6,Demasiada gente en hora punta.
544,1,2.2,2.3,3.6,2.7,
545,2,3.2,3.6,2.9,2.4,
547,2,2.5,2.9,3.3,3.9,Difícil aparcar.
550,0,2.6,2.9,3.9,2.7,Demasiada gente en hora punta.
551,2,2.5,3.0,2.2,2.7,Cambio de entrenador sin previo aviso.
552,3,3.3,3.2,3.6,3.1,Difícil aparcar.
553,4,3.4,2.8,2.4,2.9,Me han cobrado de más un mes.
554,3,1.6,1.7,3.0,4.0,Demasiada gente en hora punta.
555,3,2.6,2.9,1.0,2.1,
556,4,2.7,2.3,3.9,4.0,Demasiada gente en hora punta.
558,0,2.0,2.7,3.1,3.0,Demasiada gente en hora punta.
559,0,3.1,3.1,2.5,1.9,Las duchas necesitan renovación.
560,6,2.6,2.7,2.5,2.0,Las duchas necesitan renovación.
563,0,2.1,3.4,2.3,4.0,La limpieza podría mejorar.
564,1,3.1,2.1,1.8,3.4,Difícil aparcar.
565,1,2.2,3.5,1.0,3.1,
567,4,3.7,3.6,2.5,1.8,Las duchas necesitan renovación.
569,2,3.1,2.9,4.3,1.2,Me han cobrado de más un mes.
